,Definition,Denominator,DenominatorUnweightedId,DenominatorWeightedId,IndicatorId,IndicatorOldId,IndicatorOrder,IndicatorSpecial1Id,IndicatorSpecial2Id,IndicatorTotalId,IndicatorType,IsQuickStat,Label,Level1,Level2,Level3,MeasurementType,NumberScale,QuickStatOrder,SDRID,ShortName,TagIds
97,Number of women,All women,FE_BBAG_W_UNW,,FE_BBAG_W_NUM,27146000,12063070,,,,D,0,Number of women,Fertility,First birth by exact age,Women,Number,0,,FEBBAGWNUM,Number of women,
98,Number of women (unweighted),All women,,FE_BBAG_W_NUM,FE_BBAG_W_UNW,,12063080,,,,U,0,Number of women (unweighted),Fertility,First birth by exact age,Women,Number,0,,FEBBAGWUNW,Number of women (unweighted),
99,Percentage of young women age 20-24 who gave birth by age 15,Young women age 20-24,FE_BBAY_W_UNW,FE_BBAY_W_NUM,FE_BBAY_W_A15,,12073010,,,,I,0,Young women age 20-24 giving birth by age 15,Fertility,First birth by exact age (women age 20-24),Women,Percent,1,,FEBBAYWA15,15,
100,Percentage of young women age 20-24 who gave birth by age 18,Young women age 20-24,FE_BBAY_W_UNW,FE_BBAY_W_NUM,FE_BBAY_W_A18,,12073020,,,,I,0,Young women age 20-24 giving birth by age 18,Fertility,First birth by exact age (women age 20-24),Women,Percent,1,,FEBBAYWA18,18,
101,Percentage of young women age 20-24 who gave birth by age 20,Young women age 20-24,FE_BBAY_W_UNW,FE_BBAY_W_NUM,FE_BBAY_W_A20,,12073030,,,,I,0,Young women age 20-24 giving birth by age 20,Fertility,First birth by exact age (women age 20-24),Women,Percent,1,,FEBBAYWA20,20,
102,Percentage of young women age 20-24 who never gave birth,Young women age 20-24,FE_BBAY_W_UNW,FE_BBAY_W_NUM,FE_BBAY_W_NEV,,12073060,,,,I,0,Young women age 20-24 who never gave birth,Fertility,First birth by exact age (women age 20-24),Women,Percent,1,,FEBBAYWNEV,Never gave birth,
103,Number of young women age 20-24,Young women age 20-24,FE_BBAY_W_UNW,,FE_BBAY_W_NUM,,12073070,,,,D,0,Number of young women age 20-24,Fertility,First birth by exact age (women age 20-24),Women,Number,0,,FEBBAYWNUM,Number of young women age 20-24,
104,Number of young women age 20-24 (unweighted),Young women age 20-24,,FE_BBAY_W_NUM,FE_BBAY_W_UNW,,12073080,,,,U,0,Number of young women age 20-24 (unweighted),Fertility,First birth by exact age (women age 20-24),Women,Number,0,,FEBBAYWUNW,Number of young women age 20-24 (unweighted),
105,Median age at first birth for young women age 20-24,Young women age 20-24,FE_BBAY_W_UNW,FE_BBAY_W_NUM,FE_BBAY_W_MED,,12073090,,,,I,0,Median age at first birth [Young women],Fertility,First birth by exact age (women age 20-24),Women,Median,1,,FEBBAYWMED,Median age at first birth,
106,Median age at first birth for women age 20-24,Women age 20-24,,,FE_AAFB_W_M20,28165002,12103010,,,,I,0,Median age at first birth for women age 20-24,Fertility,Median age at first birth,Women,Median,1,,FEAAFBWM20,20-24,
107,Median age at first birth for women age 25-29,Women age 25-29,,,FE_AAFB_W_M25,28165003,12103020,,,,I,0,Median age at first birth for women age 25-29,Fertility,Median age at first birth,Women,Median,1,,FEAAFBWM25,25-29,
108,Median age at first birth for women age 30-34,Women age 30-34,,,FE_AAFB_W_M30,28165004,12103030,,,,I,0,Median age at first birth for women age 30-34,Fertility,Median age at first birth,Women,Median,1,,FEAAFBWM30,30-34,
109,Median age at first birth for women age 35-39,Women age 35-39,,,FE_AAFB_W_M35,28165005,12103040,,,,I,0,Median age at first birth for women age 35-39,Fertility,Median age at first birth,Women,Median,1,,FEAAFBWM35,35-39,
110,Median age at first birth for women age 40-44,Women age 40-44,,,FE_AAFB_W_M40,28165006,12103050,,,,I,0,Median age at first birth for women age 40-44,Fertility,Median age at first birth,Women,Median,1,,FEAAFBWM40,40-44,
111,Median age at first birth for women age 45-49,Women age 45-49,,,FE_AAFB_W_M45,28165007,12103060,,,,I,0,Median age at first birth for women age 45-49,Fertility,Median age at first birth,Women,Median,1,,FEAAFBWM45,45-49,
112,Median age at first birth for women age 20-49,Women age 20-49,,,FE_AAFB_W_M2A,28214000,12103070,,,,I,0,Median age at first birth for women age 20-49,Fertility,Median age at first birth,Women,Median,1,,FEAAFBWM2A,20-49,
113,Median age at first birth for women age 25-49,Women age 25-49,,,FE_AAFB_W_M2B,28166000,12103080,,,,I,0,Median age at first birth for women age 25-49,Fertility,Median age at first birth,Women,Median,1,,FEAAFBWM2B,25-49,77
114,Percentage of teenage women who are mothers,Women age 15-19,FE_TNPG_W_UNW,FE_TNPG_W_NUM,FE_TNPG_W_LVB,29169000,12133010,FE_TNPG_W_DKM,,,I,0,Teenagers who are mothers,Fertility,Teenage pregnancy,Women,Percent,1,,FETNPGWLVB,Women age 15-19 who have had a live birth,
115,Percentage of teenage women who are pregnant with their first child,Women age 15-19,FE_TNPG_W_UNW,FE_TNPG_W_NUM,FE_TNPG_W_PRG,29169001,12133020,FE_TNPG_W_DKM,,,I,0,Teenagers who are pregnant with their first child,Fertility,Teenage pregnancy,Women,Percent,1,,FETNPGWPRG,Women age 15-19 who are pregnant with first child,
116,Percentage of teenage women who have begun childbearing,Women age 15-19,FE_TNPG_W_UNW,FE_TNPG_W_NUM,FE_TNPG_W_CBR,29169002,12133030,FE_TNPG_W_DKM,,,I,0,Teenagers who have begun childbearing,Fertility,Teenage pregnancy,Women,Percent,1,,FETNPGWCBR,Women age 15-19 who have begun childbearing,
117,Percentage of teenage women with 'don't know' or missing information on childbearing,Women age 15-19,FE_TNPG_W_UNW,FE_TNPG_W_NUM,FE_TNPG_W_DKM,29169003,12133040,,,,S,0,Teenagers with don't know or missing information on childbearing,Fertility,Teenage pregnancy,Women,Percent,1,,FETNPGWDKM,Women age 15-19 with Don't know or missing information on childbearing,
118,Number of teenage women age 15-19,Women age 15-19,FE_TNPG_W_UNW,,FE_TNPG_W_NUM,,12133050,,,,D,0,Number of women age 15-19,Fertility,Teenage pregnancy,Women,Number,0,,FETNPGWNUM,Number of women age 15-19,
119,Number of teenage women age 15-19 (unweighted),Women age 15-19,,FE_TNPG_W_NUM,FE_TNPG_W_UNW,,12133060,,,,U,0,Number of women age 15-19 (unweighted),Fertility,Teenage pregnancy,Women,Number,0,,FETNPGWUNW,Number of women age 15-19 (unweighted),
120,Percentage of women age 15-19 who initiated sexual intercourse before age 15,Women age 15-19,FE_TNBH_W_UNW,FE_TNBH_W_NUM,FE_TNBH_W_SEX,,12143010,,,,I,0,Teenage women who initiated sexual intercourse before age 15,Fertility,Teen sexual health behaviors before age 15,Women,Percent,1,,FETNBHWSEX,Sexual before age 15,
121,Percentage of women age 15-19 who married before age 15,Women age 15-19,FE_TNBH_W_UNW,FE_TNBH_W_NUM,FE_TNBH_W_MAR,,12143020,,,,I,0,Teenage women who married before age 15,Fertility,Teen sexual health behaviors before age 15,Women,Percent,1,,FETNBHWMAR,Married before age 15,
122,Percentage of women age 15-19 who had a live birth before age 15,Women age 15-19,FE_TNBH_W_UNW,FE_TNBH_W_NUM,FE_TNBH_W_BTH,,12143030,,,,I,0,Teenage women who had a live birth before age 15,Fertility,Teen sexual health behaviors before age 15,Women,Percent,1,,FETNBHWBTH,Live birth before age 15,
123,Number of women age 15-19,Women age 15-19,FE_TNBH_W_UNW,,FE_TNBH_W_NUM,,12143040,,,,D,0,Number of women age 15-19,Fertility,Teen sexual health behaviors before age 15,Women,Number,0,,FETNBHWNUM,Number of women age 15-19,
124,Number of women age 15-19 (unweighted),Women age 15-19,,FE_TNBH_W_NUM,FE_TNBH_W_UNW,,12143050,,,,U,0,Number of women age 15-19 (unweighted),Fertility,Teen sexual health behaviors before age 15,Women,Number,0,,FETNBHWUNW,Number of women age 15-19 (unweighted),
125,Percentage of men age 15-19 who initiated sexual intercourse before age 15,Men age 15-19,FE_TNBH_M_UNW,FE_TNBH_M_NUM,FE_TNBH_M_SEX,,12144010,,,,I,0,Teenage men who initiated sexual intercourse before age 15,Fertility,Teen sexual health behaviors before age 15,Men,Percent,1,,FETNBHMSEX,Sexual before age 15,
126,Percentage of men age 15-19 who married before age 15,Men age 15-19,FE_TNBH_M_UNW,FE_TNBH_M_NUM,FE_TNBH_M_MAR,,12144020,,,,I,0,Teenage men who married before age 15,Fertility,Teen sexual health behaviors before age 15,Men,Percent,1,,FETNBHMMAR,Married before age 15,
127,Percentage of men age 15-19 who fathered a live birth before age 15,Men age 15-19,FE_TNBH_M_UNW,FE_TNBH_M_NUM,FE_TNBH_M_BTH,,12144030,,,,I,0,Teenage men who fathered a live birth before age 15,Fertility,Teen sexual health behaviors before age 15,Men,Percent,1,,FETNBHMBTH,Live birth before age 15,
128,Number of men age 15-19,Men age 15-19,FE_TNBH_M_UNW,,FE_TNBH_M_NUM,,12144040,,,,D,0,Number of men age 15-19,Fertility,Teen sexual health behaviors before age 15,Men,Number,0,,FETNBHMNUM,Number of men age 15-19,
129,Number of men age 15-19 (unweighted),Men age 15-19,,FE_TNBH_M_NUM,FE_TNBH_M_UNW,,12144050,,,,U,0,Number of men age 15-19 (unweighted),Fertility,Teen sexual health behaviors before age 15,Men,Number,0,,FETNBHMUNW,Number of men age 15-19 (unweighted),
130,Percentage of currently married or in union women who want to have another child soon,Currently married women,PR_DESC_W_UNW,PR_DESC_W_NUM,PR_DESC_W_ASN,62234001,22163010,PR_DESC_W_MIS,,PR_DESC_W_TOT,I,0,Desire for more children: Have another soon,Fertility Preferences,Desire for children,Women,Percent,1,,PRDESCWASN,Have another soon,
131,Percentage of currently married or in union women who want to have another child later,Currently married women,PR_DESC_W_UNW,PR_DESC_W_NUM,PR_DESC_W_ALT,62234002,22163020,PR_DESC_W_MIS,,PR_DESC_W_TOT,I,0,Desire for more children: Have another later,Fertility Preferences,Desire for children,Women,Percent,1,,PRDESCWALT,Have another later,
132,Percentage of currently married or in union women who want another child but are unsure of the timing,Currently married women,PR_DESC_W_UNW,PR_DESC_W_NUM,PR_DESC_W_AUN,62234003,22163030,PR_DESC_W_MIS,,PR_DESC_W_TOT,I,0,"Desire for more children: Wants, unsure timing",Fertility Preferences,Desire for children,Women,Percent,1,,PRDESCWAUN,"Have another, undecided when",
133,Percentage of currently married or in union women who undecided if they want another child,Currently married women,PR_DESC_W_UNW,PR_DESC_W_NUM,PR_DESC_W_UND,62234004,22163040,PR_DESC_W_MIS,,PR_DESC_W_TOT,I,0,Desire for more children: Undecided,Fertility Preferences,Desire for children,Women,Percent,1,,PRDESCWUND,Undecided,
134,Percentage of currently married or in union women who want no more children,Currently married women,PR_DESC_W_UNW,PR_DESC_W_NUM,PR_DESC_W_WNM,62234005,22163050,PR_DESC_W_MIS,,PR_DESC_W_TOT,I,0,Desire for more children: Wants no more,Fertility Preferences,Desire for children,Women,Percent,1,,PRDESCWWNM,Want no more,
135,Percentage of currently married or in union women who are sterilized,Currently married women,PR_DESC_W_UNW,PR_DESC_W_NUM,PR_DESC_W_STR,62234006,22163060,PR_DESC_W_MIS,,PR_DESC_W_TOT,I,0,Desire for more children: Sterilized,Fertility Preferences,Desire for children,Women,Percent,1,,PRDESCWSTR,Sterilized,
136,Percentage of currently married or in union women who declare that they are infecund,Currently married women,PR_DESC_W_UNW,PR_DESC_W_NUM,PR_DESC_W_INF,62234007,22163070,PR_DESC_W_MIS,,PR_DESC_W_TOT,I,0,Desire for more children: Declared infecund,Fertility Preferences,Desire for children,Women,Percent,1,,PRDESCWINF,Declared infecund,
137,Percentage of currently married or in union women with missing information on desire for more children,Currently married women,PR_DESC_W_UNW,PR_DESC_W_NUM,PR_DESC_W_MIS,62234009,22163080,,,,S,0,Desire for more children: Missing,Fertility Preferences,Desire for children,Women,Percent,1,,PRDESCWMIS,Missing,
138,Percentage of currently married/in union women: Total,Currently married women,PR_DESC_W_UNW,PR_DESC_W_NUM,PR_DESC_W_TOT,62149000,22163090,,,,T,0,Married women: Total,Fertility Preferences,Desire for children,Women,Percent,1,,PRDESCWTOT,Total,
139,Number of currently married/in union women,Currently married women,PR_DESC_W_UNW,,PR_DESC_W_NUM,62149001,22163100,,,,D,0,Number of currently married women,Fertility Preferences,Desire for children,Women,Number,0,,PRDESCWNUM,Number of women,
140,Number of currently married/in union women (unweighted),Currently married women,,PR_DESC_W_NUM,PR_DESC_W_UNW,,22163110,,,,U,0,Number of currently married women (unweighted),Fertility Preferences,Desire for children,Women,Number,0,,PRDESCWUNW,Number of women (unweighted),
141,Percentage of currently married or in union men who want to have another child soon,Currently married men,PR_DESC_M_UNW,PR_DESC_M_NUM,PR_DESC_M_ASN,180234001,22164120,PR_DESC_M_MIS,,PR_DESC_M_TOT,I,0,Desire for more children [Men]: Have another soon,Fertility Preferences,Desire for children,Men,Percent,1,,PRDESCMASN,Have another soon,83
142,Percentage of currently married or in union men who want to have another child later,Currently married men,PR_DESC_M_UNW,PR_DESC_M_NUM,PR_DESC_M_ALT,180234002,22164130,PR_DESC_M_MIS,,PR_DESC_M_TOT,I,0,Desire for more children [Men]: Have another later,Fertility Preferences,Desire for children,Men,Percent,1,,PRDESCMALT,Have another later,83
143,Percentage of currently married or in union men who want another child but are unsure of the timing,Currently married men,PR_DESC_M_UNW,PR_DESC_M_NUM,PR_DESC_M_AUN,180234003,22164140,PR_DESC_M_MIS,,PR_DESC_M_TOT,I,0,"Desire for more children [Men]: Wants, unsure timing",Fertility Preferences,Desire for children,Men,Percent,1,,PRDESCMAUN,"Have another, undecided when",83
144,Percentage of currently married or in union men who undecided if they want another child,Currently married men,PR_DESC_M_UNW,PR_DESC_M_NUM,PR_DESC_M_UND,180234004,22164150,PR_DESC_M_MIS,,PR_DESC_M_TOT,I,0,Desire for more children [Men]: Undecided,Fertility Preferences,Desire for children,Men,Percent,1,,PRDESCMUND,Undecided,83
145,Percentage of currently married or in union men who want no more children,Currently married men,PR_DESC_M_UNW,PR_DESC_M_NUM,PR_DESC_M_WNM,180234005,22164160,PR_DESC_M_MIS,,PR_DESC_M_TOT,I,0,Desire for more children [Men]: Wants no more,Fertility Preferences,Desire for children,Men,Percent,1,,PRDESCMWNM,Want no more,83
146,Percentage of currently married or in union men who are sterilized,Currently married men,PR_DESC_M_UNW,PR_DESC_M_NUM,PR_DESC_M_STR,180234006,22164170,PR_DESC_M_MIS,,PR_DESC_M_TOT,I,0,Desire for more children [Men]: Sterilized,Fertility Preferences,Desire for children,Men,Percent,1,,PRDESCMSTR,Sterilized,83
147,Percentage of currently married or in union men who declare that they are infecund,Currently married men,PR_DESC_M_UNW,PR_DESC_M_NUM,PR_DESC_M_INF,180234007,22164180,PR_DESC_M_MIS,,PR_DESC_M_TOT,I,0,Desire for more children [Men]: Declared infecund,Fertility Preferences,Desire for children,Men,Percent,1,,PRDESCMINF,Declared infecund,83
148,Percentage of currently married or in union men with missing information on desire for more children,Currently married men,PR_DESC_M_UNW,PR_DESC_M_NUM,PR_DESC_M_MIS,180234009,22164190,,,,S,0,Desire for more children [Men]: Missing,Fertility Preferences,Desire for children,Men,Percent,1,,PRDESCMMIS,Missing,
149,Percentage of currently married/in union men: Total,Currently married men,PR_DESC_M_UNW,PR_DESC_M_NUM,PR_DESC_M_TOT,180149000,22164200,,,,T,0,Married men: Total,Fertility Preferences,Desire for children,Men,Percent,1,,PRDESCMTOT,Total,
150,Number of currently married/in union men,Currently married men,PR_DESC_M_UNW,,PR_DESC_M_NUM,180149001,22164210,,,,D,0,Number of currently married men,Fertility Preferences,Desire for children,Men,Number,0,,PRDESCMNUM,Number of men,
151,Number of currently married/in union men (unweighted),Currently married men,,PR_DESC_M_NUM,PR_DESC_M_UNW,,22164220,,,,U,0,Number of currently married men (unweighted),Fertility Preferences,Desire for children,Men,Number,0,,PRDESCMUNW,Number of men (unweighted),
152,Percentage of currently married or in union women who want no more children or are sterilized,Currently married women,PR_DESL_W_UNW,PR_DESL_W_NUM,PR_DESL_W_WNM,64111000,22203010,,,,I,0,Women who want no more children,Fertility Preferences,Desire to limit childbearing,Women,Percent,1,,PRDESLWWNM,Currently married women who want no more children,77
153,Number of currently married/in union women,Currently married women,PR_DESL_W_UNW,,PR_DESL_W_NUM,,22203020,,,,D,0,Number of currently married women,Fertility Preferences,Desire to limit childbearing,Women,Number,0,,PRDESLWNUM,Number of currently married women,
154,Number of currently married/in union women (unweighted),Currently married women,,PR_DESL_W_NUM,PR_DESL_W_UNW,,22203030,,,,U,0,Number of currently married women (unweighted),Fertility Preferences,Desire to limit childbearing,Women,Number,0,,PRDESLWUNW,Number of currently married women (unweighted),
155,Percentage of currently married or in union men who want no more children or are sterilized,Currently married men,PR_DESL_M_UNW,PR_DESL_M_NUM,PR_DESL_M_WNM,181111000,22204040,,,,I,0,Men who want no more children,Fertility Preferences,Desire to limit childbearing,Men,Percent,1,,PRDESLMWNM,Currently married men who want no more children,83
156,Number of currently married/in union men,Currently married men,PR_DESL_M_UNW,,PR_DESL_M_NUM,,22204050,,,,D,0,Number of currently married men,Fertility Preferences,Desire to limit childbearing,Men,Number,0,,PRDESLMNUM,Number of currently married men,
157,Number of currently married/in union men (unweighted),Currently married men,,PR_DESL_M_NUM,PR_DESL_M_UNW,,22204060,,,,U,0,Number of currently married men (unweighted),Fertility Preferences,Desire to limit childbearing,Men,Number,0,,PRDESLMUNW,Number of currently married men (unweighted),
158,Percentage of all women whose ideal number of children is 0,Women interviewed,PR_IDLC_W_UNW,PR_IDLC_W_NUM,PR_IDLC_W_ID0,66235000,22233010,,,PR_IDLC_W_TOT,I,0,Ideal number of children [Women]: 0,Fertility Preferences,Ideal number of children,Women,Percent,1,,PRIDLCWID0,0,
